dl
format = edgelist1
n=2552
data:
suspended by 1.0	
policy key 1.0	
not mubarak 4.0	
crowds cities 1.0	
refer biden 1.0	
services providing 1.0	
state say 1.0	
streaming egyptian 1.0	
live canisters 1.0	
mubarak again 1.0	
services lines 2.0	
lawyers data 1.0	
clear by 1.0	
not junta 2.0	
instead a 3.0	
thought he 1.0	
where demonstrators 1.0	
took mubarak 3.0	
his him 1.0	
un marching 1.0	
protesters government 3.0	
intended initially 1.0	
hillary foreign 1.0	
he demand 1.0	
tunisian end 1.0	
th cities 2.0	
wounded were 1.0	
president pbs 2.0	
stands showed 1.0	
live fire 1.0	
rigged him 1.0	
streets cannons 1.0	
st cities 2.0	
intended evening 1.0	
president egyptian 2.0	
rigged his 1.0	
state clintons 1.0	
he are 1.0	
live evening 1.0	
protesters from 1.0	
st marching 1.0	
canisters buildings 1.0	
corrupt ali 1.0	
tear down 1.0	
with evening 1.0	
vice he 1.0	
francisco demand 1.0	
six police 1.0	
largest his 1.0	
tear ammunition 1.0	
fired army 1.0	
reports least 1.0	
he administration 1.0	
demonstrators another 1.0	
rigged demonstrators 1.0	
water marched 1.0	
run he 1.0	
not early 1.0	
reports killed 1.0	
who arabia 1.0	
demand cairo 1.0	
appeared achieved 1.0	
steal re-election 1.0	
egyptian bambuser 1.0	
one aid 1.0	
was obama 1.0	
cannons a 1.0	
were government 1.0	
hosni freedom 1.0	
maintains aid 1.0	
freedom been 1.0	
were many 2.0	
policy number 1.0	
power admit 1.0	
showed egypts 1.0	
facing down 1.0	
streets activists 1.0	
some reports 2.0	
there suspended 1.0	
regime end 2.0	
interview foreign 1.0	
said instead 1.0	
years saudi 1.0	
protests january 1.0	
us aid 2.0	
he ally 1.0	
reports lines 2.0	
instead dictator 1.0	
stands almost 1.0	
people are 1.0	
president interview 2.0	
down day 1.0	
with from 1.0	
suspended phone 2.0	
plaza before 1.0	
police charges 1.0	
from ammunition 1.0	
secretary on-the-ground 1.0	
street initially 1.0	
were egypt 1.0	
police marched 1.0	
used cities 1.0	
january ally 1.0	
maintains admit 1.0	
street power 1.0	
backing admit 1.0	
took egyptian 1.0	
state secretary 1.0	
continued alexandria 1.0	
february end 1.0	
mubarak continued 1.0	
who ben 1.0	
television attacking 1.0	
demand again 1.0	
station plaza 1.0	
street appeared 1.0	
egyptian called 1.0	
on-the-ground all 1.0	
regime demand 2.0	
he freedom 1.0	
protesters ammunition 2.0	
thought intended 1.0	
one largest 1.0	
september run 1.0	
liking his 1.0	
he dictatorship 1.0	
us largest 2.0	
he evening 1.0	
thought replacing 1.0	
tear cannons 1.0	
by being 1.0	
services disabled 1.0	
marched a 1.0	
protesters police 2.0	
largest admit 1.0	
washington clintons 1.0	
revolution army 1.0	
government fired 1.0	
station gathered 1.0	
american all 1.0	
dead by 1.0	
used six 1.0	
policy biden 1.0	
government access 1.0	
th smaller 2.0	
st smaller 2.0	
key issues 1.0	
th demand 3.0	
key foreign 1.0	
lawyers being 1.0	
suspended providing 1.0	
policy mubarak 1.0	
revolution early 1.0	
wounded protesters 1.0	
newspapers egyptian 1.0	
reports phone 2.0	
killed cities 1.0	
all activists 1.0	
demonstrators activists 1.0	
streets egypt 2.0	
while liking 1.0	
country access 1.0	
let election 1.0	
thought government 1.0	
policy issues 1.0	
demonstrators american 1.0	
people ali 1.0	
took goal 1.0	
was stance 1.0	
pbs mubarak 1.0	
not demanding 1.0	
tear many 2.0	
st demand 2.0	
rallied before 1.0	
who join 1.0	
with mubarak 1.0	
took state 1.0	
say he 1.0	
websites streaming 1.0	
station bart 1.0	
president dictator 2.0	
attacking achieved 1.0	
st protests 2.0	
live from 1.0	
protesters much 1.0	
lawyers disabled 1.0	
used killed 1.0	
rest he 1.0	
vice th 1.0	
th access 1.0	
rigged re-election 1.0	
egypt a 1.0	
say fired 1.0	
are activists 2.0	
protests cities 1.0	
secretary clintons 1.0	
rest government 1.0	
independent bambuser 1.0	
suspended many 1.0	
evening by 1.0	
not key 1.0	
dictatorship admit 1.0	
who corrupt 1.0	
january demand 1.0	
th ally 1.0	
took february 1.0	
providing data 1.0	
tuesday showed 1.0	
protesters army 1.0	
stance by 1.0	
th biden 1.0	
many appeared 1.0	
stay appeared 1.0	
hillary administration 1.0	
many attacking 1.0	
water thousands 1.0	
stay attacking 1.0	
re-election let 1.0	
those decades 1.0	
state evening 1.0	
one largely 1.0	
least ammunition 1.0	
were buildings 1.0	
say government 1.0	
water riot 1.0	
he ben 1.0	
streaming by 1.0	
people demand 1.0	
protesters live 2.0	
vice january 1.0	
tuesday comments 1.0	
smaller regime 1.0	
end egyptian 1.0	
called a 3.0	
canisters ammunition 1.0	
washington state 1.0	
where showed 1.0	
used being 1.0	
were least 1.0	
us largely 2.0	
with protesters 2.0	
said called 1.0	
twitter application 1.0	
stay power 1.0	
thousands a 1.0	
websites by 1.0	
data are 2.0	
rest intended 1.0	
he backing 1.0	
there lines 2.0	
not goal 1.0	
issues egyptian 1.0	
streets internet 1.0	
wounded from 1.0	
wounded canisters 1.0	
openly liking 1.0	
with hosni 1.0	
hosni he 1.0	
state not 1.0	
power many 1.0	
replacing fired 1.0	
other continued 1.0	
riot facing 1.0	
mid-afternoon live 1.0	
th mubarak 4.0	
years he 1.0	
police cannons 1.0	
join he 1.0	
number he 1.0	
with those 1.0	
tear buildings 1.0	
observers hillary 1.0	
protesters intended 1.0	
state protesters 1.0	
lawyers by 1.0	
us mubarak 2.0	
obama foreign 1.0	
egypt day 1.0	
twitter bambuser 1.0	
streets demonstrators 1.0	
power mubarak 3.0	
who tunisian 1.0	
th san 1.0	
with ali 1.0	
foreign clear 1.0	
day cannons 1.0	
washington egypts 1.0	
took streets 3.0	
thousands streets 2.0	
injustice end 1.0	
wounded fire 1.0	
websites application 1.0	
revolution initially 1.0	
protesters crowds 1.0	
st mubarak 2.0	
stance january 1.0	
phone country 1.0	
few backing 1.0	
government bambuser 1.0	
one mubarak 1.0	
police not 1.0	
washington on-the-ground 1.0	
government dead 1.0	
near before 1.0	
said not 1.0	
riot a 1.0	
hillary demonstrators 1.0	
gas evening 1.0	
military junta 1.0	
street army 1.0	
websites newspapers 1.0	
protesters before 1.0	
refer a 3.0	
state stands 1.0	
people join 1.0	
issues a 3.0	
demand continued 1.0	
not instead 1.0	
say replacing 1.0	
pbs biden 1.0	
said refer 1.0	
mubarak initially 1.0	
few dictatorship 1.0	
streets observers 1.0	
rest fired 1.0	
end cities 1.0	
san again 1.0	
riot police 1.0	
recorded history 1.0	
san regime 1.0	
service hundreds 1.0	
some ammunition 2.0	
mubarak appeared 1.0	
live application 1.0	
support phone 2.0	
showed observers 1.0	
regime mubarak 2.0	
people january 1.0	
because admit 1.0	
mubarak cairo 1.0	
th protests 3.0	
tunisian he 1.0	
gas dead 1.0	
regime protests 1.0	
used lawyers 1.0	
took police 1.0	
before bart 1.0	
thousands tear 1.0	
steal junta 1.0	
secretary egypts 1.0	
st other 2.0	
with are 1.0	
protesters january 1.0	
streets marched 1.0	
streets riot 1.0	
mubarak government 1.0	
regime other 1.0	
egypts all 1.0	
egyptian cities 1.0	
vice pbs 1.0	
not a 3.0	
where tuesday 1.0	
down cannons 1.0	
said issues 1.0	
tear egypt 1.0	
dead canisters 1.0	
support are 2.0	
refer egyptian 1.0	
us recipients 2.0	
government demanding 1.0	
rest replacing 1.0	
key he 1.0	
television state 1.0	
with oppression 1.0	
police achieved 1.0	
protests gas 1.0	
few admit 1.0	
january again 2.0	
september military 1.0	
re-election junta 1.0	
rigged responded 1.0	
january foreign 2.0	
internet cut 1.0	
january access 1.0	
january charges 1.0	
with demand 1.0	
comments all 1.0	
thousands police 1.0	
water charges 1.0	
phone data 2.0	
pbs ally 1.0	
with chanting 1.0	
th number 1.0	
issues instead 1.0	
steal another 1.0	
key called 1.0	
state achieved 1.0	
water cannons 1.0	
phone lawyers 2.0	
steal september 1.0	
smaller cairo 1.0	
fire ammunition 1.0	
reports protesters 1.0	
not egyptian 1.0	
lines activists 2.0	
took cities 1.0	
streets millions 1.0	
television police 1.0	
recipients power 1.0	
th other 2.0	
made clinton 1.0	
websites mid-afternoon 1.0	
stands egypts 1.0	
thousands cut 1.0	
he corrupt 1.0	
instead biden 1.0	
took cut 1.0	
people ben 1.0	
phone much 1.0	
largely admit 1.0	
thought army 1.0	
early appeared 1.0	
saudi chanting 1.0	
foreign ally 1.0	
dictator chanting 1.0	
end decades 1.0	
took evening 1.0	
dead buildings 1.0	
took protests 1.0	
history egypt 1.0	
wounded dead 1.0	
not attacking 1.0	
suspended being 1.0	
interview a 3.0	
injustice decades 1.0	
stay state 1.0	
freedom end 1.0	
hundreds access 1.0	
providing by 1.0	
tear hundreds 1.0	
live blocked 1.0	
un plaza 1.0	
where state 1.0	
he goal 1.0	
he egyptian 1.0	
where on-the-ground 1.0	
evening attacking 1.0	
re-election mubarak 1.0	
state many 1.0	
street revolution 1.0	
stance policy 1.0	
police down 1.0	
president policy 2.0	
stands clintons 1.0	
police killed 1.0	
maintains largest 1.0	
hundreds cut 1.0	
marched facing 1.0	
mubarak been 1.0	
power largely 1.0	
st plaza 1.0	
not injustice 1.0	
interview biden 1.0	
protests cairo 1.0	
power early 1.0	
thousands day 1.0	
chanting arabia 1.0	
number him 1.0	
maintains backing 1.0	
number interview 1.0	
other millions 1.0	
near marching 1.0	
power largest 1.0	
used protesters 1.0	
revolution replacing 1.0	
policy change 1.0	
refer key 1.0	
thought initially 1.0	
not biden 1.0	
protests hundreds 1.0	
saudi mubarak 1.0	
military let 1.0	
largely few 1.0	
washington observers 1.0	
mubarak election 1.0	
riot protests 1.0	
rallied plaza 1.0	
many lawyers 1.0	
his aid 1.0	
th key 1.0	
said he 1.0	
called ally 1.0	
tear riot 1.0	
clinton by 1.0	
run another 1.0	
streaming newspapers 1.0	
stay many 1.0	
president instead 2.0	
protesters by 1.0	
not let 2.0	
th change 1.0	
marched down 1.0	
state almost 1.0	
phone internet 1.0	
liking because 1.0	
vice foreign 1.0	
street intended 1.0	
government fire 1.0	
washington tuesday 1.0	
by application 1.0	
dictatorship because 1.0	
rest army 1.0	
september election 1.0	
intended goal 1.0	
early army 1.0	
maintains largely 1.0	
egyptian dictator 1.0	
streets hundreds 3.0	
gas facing 1.0	
mubarak january 2.0	
mubarak him 2.0	
egyptian by 1.0	
replacing government 1.0	
reports are 2.0	
mubarak his 2.0	
oppression not 1.0	
live dead 1.0	
protesters he 1.0	
thousands facing 1.0	
observers almost 1.0	
oppression decades 1.0	
with dead 1.0	
years who 1.0	
used providing 1.0	
government from 1.0	
thousands down 1.0	
were used 1.0	
steal run 1.0	
he a 3.0	
rallied bart 1.0	
mubarak interview 1.0	
number dictator 1.0	
six least 1.0	
protests end 1.0	
streets cairo 1.0	
with ben 1.0	
dead ammunition 1.0	
foreign comments 1.0	
was clinton 1.0	
from fire 1.0	
hundreds day 1.0	
power chanting 1.0	
streets francisco 1.0	
key dictator 1.0	
clinton administration 1.0	
with six 1.0	
reluctant change 1.0	
thousands protests 1.0	
who chanting 1.0	
with join 1.0	
took attacking 1.0	
chanting administration 1.0	
change administration 1.0	
demonstrators comments 1.0	
say army 1.0	
other cairo 1.0	
clintons almost 1.0	
run demonstrators 1.0	
stands on-the-ground 1.0	
th phone 1.0	
plaza noon 1.0	
mubarak dictator 2.0	
street replacing 1.0	
riot day 1.0	
revolution government 1.0	
police day 1.0	
initially early 1.0	
vice him 1.0	
th facing 1.0	
were by 1.0	
been ali 1.0	
responded not 2.0	
key january 1.0	
say intended 1.0	
police facing 1.0	
san egypt 1.0	
